name,age,gender,country,emp_type
John,34,Male,Brazil,admin
Liam,46,Male,China,employee
Isabella,38,Male,Japan,admin
William,43,Male,India,admin
James,49,Female,Brazil,manager
Ava,35,Female,Canada,employee
Noah,57,Male,France,admin
Sophia,25,Female,Germany,employee
Ava,23,Male,Canada,employee
Emma,36,Male,Japan,manager
Emma,27,Female,UK,manager
Ava,50,Male,USA,manager
Emma,54,Male,China,manager
James,43,Male,UK,employee
Isabella,50,Female,Germany,employee
Olivia,52,Female,UK,manager
William,50,Female,Japan,admin
William,21,Male,France,employee
Noah,28,Male,Australia,manager
Liam,25,Female,Japan,admin
John,34,Female,Brazil,manager
John,60,Male,Japan,admin
William,20,Female,Brazil,manager
John,40,Female,China,manager
Noah,46,Male,UK,manager
Olivia,55,Male,Germany,manager
Noah,38,Male,China,employee
William,51,Female,China,employee
Emma,39,Male,France,manager
Noah,44,Female,France,employee
James,26,Female,Japan,admin
Isabella,54,Female,UK,employee
Noah,48,Male,Canada,manager
Ava,26,Male,UK,manager
Ava,43,Male,India,employee
Liam,32,Male,China,admin
John,56,Female,China,admin
Noah,52,Male,China,employee
Liam,54,Female,Brazil,manager
William,30,Male,India,admin
Isabella,56,Female,Brazil,manager
Olivia,25,Male,Brazil,employee
Emma,47,Male,Canada,manager
William,41,Female,Canada,admin
William,49,Male,India,employee
Emma,58,Female,Australia,manager
Ava,60,Female,France,manager
Isabella,30,Female,France,employee
William,35,Female,Canada,manager
Sophia,29,Male,Germany,admin
Sophia,48,Male,USA,manager
Ava,26,Female,Brazil,admin
Sophia,42,Male,France,manager
Sophia,48,Male,France,employee
Sophia,34,Female,Japan,admin
William,40,Female,China,admin
Ava,55,Male,Brazil,employee
Emma,37,Male,Australia,employee
Olivia,49,Male,Brazil,employee
William,41,Female,Germany,manager
William,21,Female,Australia,manager
Olivia,59,Male,France,employee
Isabella,59,Female,Canada,employee
Emma,40,Female,India,employee
John,54,Male,Australia,admin
Isabella,21,Female,Canada,admin
Emma,35,Female,France,employee
Olivia,47,Female,Brazil,admin
Olivia,59,Female,India,manager
John,26,Male,France,admin
James,46,Female,UK,admin
Isabella,25,Female,Japan,employee
William,30,Male,Brazil,admin
Isabella,22,Female,Germany,admin
Noah,44,Female,China,admin
Olivia,39,Female,Brazil,employee
John,55,Female,China,admin
Noah,32,Male,Japan,admin
Isabella,41,Female,India,admin
William,57,Female,Australia,manager
James,48,Male,Germany,employee
John,21,Female,France,admin
William,39,Female,Brazil,admin
James,30,Female,Australia,manager
Emma,45,Female,Japan,admin
William,33,Female,France,manager
Liam,55,Male,Japan,employee
Olivia,58,Female,Australia,admin
Sophia,22,Male,Germany,employee
William,24,Male,India,admin
Emma,49,Male,Australia,manager
Emma,26,Female,USA,manager
Ava,34,Male,India,admin
Emma,53,Female,Japan,manager
Noah,37,Female,Germany,manager
William,44,Male,Japan,manager
Noah,53,Female,Canada,manager
Noah,51,Male,Canada,admin
Ava,26,Male,Brazil,employee
Olivia,30,Female,China,admin
